[13-Jan-2015 08:12:25 UTC] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 248
[13-Jan-2015 08:12:25 UTC] PHP Notice:  Trying to get property of non-object in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 248
[13-Jan-2015 08:12:25 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:12:25 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:19:44 UTC] PHP Strict Standards:  Declaration of AdminTemplate::renderMainTemplateArea() should be compatible with TemplateRenderer::renderMainTemplateArea($teplateArea, $pageId = NULL) in /home/ubuntu/workspace/vbmscms/src/core/template/adminTemplate.php on line 5
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_connect(): Can't connect to MySQL server on 'rdbms.strato.de' (4) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 179
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 21
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 21
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 22
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 22
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 44
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 44
